ResID,ReviewID,Rating,Text,Url,Timestamp
aRacnEURw6oTkrijdeUZXA,itVjeH2yt_2C5q5cWG7k-w,5,"I used to frequent the loctTion in San Diego but now that I have it kcal in Encinitas I'm thrilled. The best Italian food in the city. Hands down! 

The...",https://www.yelp.com/biz/buona-forchetta-encinitas?hrid=itVjeH2yt_2C5q5cWG7k-w&adjust_creative=r7MUJQBTl9K6JVyS6S33Ug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=r7MUJQBTl9K6JVyS6S33Ug,2018-12-09 20:38:06
aRacnEURw6oTkrijdeUZXA,DzLvoMGO2rHSOPRrInyEvw,4,"My husband and I came on a busy Sunday night. The wait was rather long, so a reservation is recommended. 
We ended up sitting at the ""bar"" which is more so...",https://www.yelp.com/biz/buona-forchetta-encinitas?hrid=DzLvoMGO2rHSOPRrInyEvw&adjust_creative=r7MUJQBTl9K6JVyS6S33Ug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=r7MUJQBTl9K6JVyS6S33Ug,2018-12-09 20:29:08
aRacnEURw6oTkrijdeUZXA,gTB2ZbgEv7h_Ch_koW2sYg,5,The absolute go-to for any fan of Italian food. My fiancée and I first heard about Buona Forchetta when our pastor (shoutout to the Flood) mentioned the...,https://www.yelp.com/biz/buona-forchetta-encinitas?hrid=gTB2ZbgEv7h_Ch_koW2sYg&adjust_creative=r7MUJQBTl9K6JVyS6S33Ug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=r7MUJQBTl9K6JVyS6S33Ug,2018-12-07 19:01:18
CfT-9koHkFvmdOJiUeENSA,BDIt_XNL1GlX9LrURjgTUQ,5,We've driven by CHIKO several times and have been meaning to try it. We ordered food to go and picked it up to take home. The flavor was excellent and we...,https://www.yelp.com/biz/chiko-encinitas?hrid=BDIt_XNL1GlX9LrURjgTUQ&adjust_creative=r7MUJQBTl9K6JVyS6S33Ug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=r7MUJQBTl9K6JVyS6S33Ug,2018-12-10 20:07:35
CfT-9koHkFvmdOJiUeENSA,ieGJ83GyQZx7ziwNYkRvXA,5,We luckily happened to drive by the night of their soft opening after much anticipation. This place is BANGING with flavor!! Very unique dishes and creative...,https://www.yelp.com/biz/chiko-encinitas?hrid=ieGJ83GyQZx7ziwNYkRvXA&adjust_creative=r7MUJQBTl9K6JVyS6S33Ug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=r7MUJQBTl9K6JVyS6S33Ug,2018-12-06 18:00:34
CfT-9koHkFvmdOJiUeENSA,gMGASzckFS-guG5jEBbc9Q,3,"Chinese and Korean? Yes please!

This place is easily found off the 101. The opposite way of D street, so not as busy and there is a parking lot available...",https://www.yelp.com/biz/chiko-encinitas?hrid=gMGASzckFS-guG5jEBbc9Q&adjust_creative=r7MUJQBTl9K6JVyS6S33Ug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=r7MUJQBTl9K6JVyS6S33Ug,2018-12-06 13:13:13
uJbBxJnGhXkAXtLCmxrszg,T_FSAZhTyMigi9YWw6FXkA,5,"This is our absolute favorite restaurant to have ramen! We are so happy that this location opened in Mira Mesa! It is definitely worth the wait, and you...",https://www.yelp.com/biz/menya-ultra-san-diego-4?hrid=T_FSAZhTyMigi9YWw6FXkA&adjust_creative=r7MUJQBTl9K6JVyS6S33Ug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=r7MUJQBTl9K6JVyS6S33Ug,2018-12-09 22:05:28
uJbBxJnGhXkAXtLCmxrszg,X1d7nEAVK0h0Ulvq8Ju1UQ,4,"The fresh noodles is what makes this unique and worth trying. Good food but very expensive for a bowl of Ramen.

$18 for vegetable ramen, added egg, seaweed...",https://www.yelp.com/biz/menya-ultra-san-diego-4?hrid=X1d7nEAVK0h0Ulvq8Ju1UQ&adjust_creative=r7MUJQBTl9K6JVyS6S33Ug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=r7MUJQBTl9K6JVyS6S33Ug,2018-12-09 21:39:27
uJbBxJnGhXkAXtLCmxrszg,pQx27wQHRmJTTeNkoi-T6Q,5,I was super impressed with the flavor of food! Miso ramen sooo ONO! The noodles were cooked just right. Ohhh and the chicken... you must try their fried...,https://www.yelp.com/biz/menya-ultra-san-diego-4?hrid=pQx27wQHRmJTTeNkoi-T6Q&adjust_creative=r7MUJQBTl9K6JVyS6S33Ug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=r7MUJQBTl9K6JVyS6S33Ug,2018-12-09 16:41:03
a3yfBL2Nlm6Z6-1Yzl4ncw,mrKRRt1Nvj6Djy2D3iOKWg,5,"Delicious dumplings, baos and appetizers! DTF is a great restaurant for Shanghainese food or Chinese food from the Jiangsu Province, featuring lots of...",https://www.yelp.com/biz/din-tai-fung-san-diego-3?hrid=mrKRRt1Nvj6Djy2D3iOKWg&adjust_creative=r7MUJQBTl9K6JVyS6S33Ug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=r7MUJQBTl9K6JVyS6S33Ug,2018-12-09 22:27:19
